Actual Cap Rate,Age,Asking Price,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Bldg SF,Building Class,Building Condition,Building Materials,Buyer (True) Address,Buyer (True) City,Buyer (True) Company,Buyer (True) Contact,Buyer (True) Phone,Buyer (True) Post-Direction,Buyer (True) Pre-Direction,Buyer (True) State,Buyer (True) Street Name,Buyer (True) Street Number,Buyer (True) Zip Code,Buyer Address,Buyer City,Buyer Company,Buyer Contact,Buyer Phone,Buyer State,Buyer Street Name,Buyer Street Number,Buyer Street Post-Direction,Buyer Street Pre-Direction,Buyer Zip Code,Buyers Broker Address,Buyers Broker Agent First Name,Buyers Broker Agent Last Name,Buyers Broker City,Buyers Broker Company,Buyers Broker Phone,Buyers Broker State,Buyers Broker Street Name,Buyers Broker Street Number,Buyers Broker Street Post-Direction,Buyers Broker Street Pre-Direction,Buyers Broker Zip Code,Ceiling Height,Comp ID,Comps Number,Corner,Coverage,Description Text,Document Number,Down Payment,Fire Sprinkler,First Trust Deed Balance,First Trust Deed Lender,First Trust Deed Payment,First Trust Deed Terms,Floor Area Ratio,Frontage,GIM,GRM,Gross Income,Improvement Ratio,Land Area AC,Land Area SF,Land Improvements,Land SF Gross,Land SF Net,Latitude,Legal Description,Listing Broker Address,Listing Broker Agent First Name,Listing Broker Agent Last Name,Listing Broker City,Listing Broker Company,Listing Broker Phone,Listing Broker State,Listing Broker Street Name,Listing Broker Street Number,Listing Broker Street Post-Direction,Listing Broker Street Pre-Direction,Listing Broker Zip Code,Loading Docks,Longitude,Lot Dimensions,Map Code,Map Page,Map X,Map Y,Market,Market Time,Multi-Sale Name,Net Income,Non-Arms Length Reasons,Number Of 1 Bedrooms,Number Of 2 Bedrooms,Number Of 3 Bedrooms,Number Of Floors,Number Of Other Bedrooms,Number Of Parking Spaces,Number Of Rooms,Number Of Studios,Number Of Tenants,Number Of Units,One Bedroom Mix,Other Mix,Parcel Number 1,Parcel Number 2,Parking Ratio,Percent Office,Portfolio City,Portfolio County,Portfolio Name,Portfolio State,Portfolio Zip,Power,Price Per AC Land,Price Per AC Land Net,Price Per Room,Price Per SF,Price Per SF (Net),Price Per SF Land,Price Per SF Land Net,Price Per Unit,Pro Forma Cap Rate,Property Address,Property City,Property County,Property Name,Property State,Property Street Name,Property Street Number,Property Street Post-Direction,Property Street Pre-Direction,Property Zip Code,PropertyType,Proposed Use,Publication Date,Rail Served,Recording Date,Research Completed Date,Research Status,Roof Type,Sale Condition,Sale Date,Sale Price,Sale Price Comment,Sale Status,Second Trust Deed Balance,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Secondary Type,Seller (True) Address,Seller (True) City,Seller (True) Company,Seller (True) Contact,Seller (True) Phone,Seller (True) Post-Direction,Seller (True) Pre-Direction,Seller (True) State,Seller (True) Street Name,Seller (True) Street Number,Seller (True) Zip Code,Seller Address,Seller City,Seller Company,Seller Contact,Seller Phone,Seller State,Seller Street Name,Seller Street Number,Seller Street Post-Direction,Seller Street Pre-Direction,Seller Zip Code,Size,Stamp,Star Rating,Studio Mix,Submarket Cluster,Submarket Code,Submarket Name,Tenancy,Three Bedroom Mix,Title Company,Total Expense Amount,Transaction Notes,Transfer Tax,Two Bedroom Mix,Typ Flr (SF),Units Per Acre,Vacancy,Year Built,Zoning
,33,2504824,2695710,1504290,4200000,2010,89458,B,,Masonry,"1443 Wainwright Way, 111",Carrollton,Dunbar,Scott La Taste,4695680800,,,TX,Wainwright Way,1443,75007,"1443 Wainwright Way, 111",Carrollton,"1302 Champion, LLC",,4695680800,TX,Wainwright Way,1443,,,75007,"4851 Lyndon B Johnson Fwy, 1000",Mark,Miller,Dallas,NAI Robert Lynn,2142567100,TX,Lyndon B Johnson Fwy,4851,,,75244,"22'0""",2136502,,,0.111491649,,20110154441,,Yes,1840000,North Star Bk/tx,,,0.222983297,,,,,64,9.21,401187,,,,32.931534,Lot 6 blk 4 Valwood Park,"2000 McKinney Ave, 1000",Tom,Kuhlmann,Dallas,Lincoln Property Company,2147403300,TX,McKinney Ave,2000,,,75201,9,-96.911712,,12-KD,12,K,D,Dallas/Ft Worth,498,,,,,,,2,,115,,,,,,,1.41087E+16,,1.29,,,,,,,Y,223402.17,,,23,23,5.13,,,,1302 Champion Cir,Carrollton,Dallas,,TX,Champion Cir,1302,,,75006,Industrial,,7/11/2011,,6/15/2011,7/19/2011,Research Complete,,,6/15/2011,2057534,Confirmed,Sold,,,,,Distribution,"7701 E Kellogg, 820",Wichita,Investment Resources Corporation,,3166520616,,E,KS,Kellogg,7701,67207,"7701 E Kellogg Dr, 820",Wichita,"Lincoln Champion Investors, LP",,,KS,Kellogg Dr,7701,,E,67207,89458,,2 Star,,Northwest Dallas Ind,GTJ,N Stemmons/Valwood Ind,Multi,,,,The information gathered for this Sales Comparable Report has been verified by information available to the public. The seller refused to disclose any information in regard to this transaction. Calls were made to the buyer but they were unavailable for comment at the time of publication. The listing and buyer brokers refused to disclose any information in regard to this transaction due to a confidentiality agreement.,,,44729,,,1981,LI
,34,2400000,,,,2012,24795,C,,Reinforced Concrete,,,,,,,,,,,,,Dallas,CJB Prime Property LLC,,,TX,,,,,75356,"8201 Preston Rd, 300",Floyd,Bates,Dallas,Bates & Myers,2146307077,TX,Preston Rd,8201,,,75225,,2713868,,,0.165368041,,,,None,,,,,0.251067597,,,,,,2.36,102801,,,,32.805182,,"1431 Greenway Dr, 350",Jeremy,Mercer,Irving,Mercer Company,2146307010,TX,Greenway Dr,1431,,,75038,None,-96.839544,,44-BD,44,B,D,Dallas/Ft Worth,305,,,,,,,2,,25,,,1,,,,7.76361E+11,,1.01,,,,,,,,847457.63,,,80.66,80.66,19.45,,,,2505 Stemmons Fwy,Dallas,Dallas,,TX,Stemmons Fwy,2505,,,75207,Industrial,,4/5/2013,,,4/9/2013,Research Complete,,,4/5/2013,2000000,Confirmed,Sold,,,,,Distribution,1359 Medical District Dr,Dallas,Modern Store Fixtures Mfg. Co.,Sidney Knopf,2146342505,,,TX,Medical District Dr,1359,75207,1359 Medical District Dr,Dallas,Modern Store Fixtures Mfg. Co.,,2146342505,TX,Medical District Dr,1359,,,75207,24795,,3 Star,,South Stemmons Ind,GTO,North Trinity Ind,Multi,,,,"It has been reported that the property at 2505 Stemmons Fwy in Dallas, TX has sold as of 4/5/2013. The 24,795 SF building sold for a confirmed price of $2,000,000. The seller was a Sidney Knopf of Knopf Family. They were represented by Jeremy Mercer and Brent Landfriend of Mercer Company. The new owner is CJB Prime Property LLC. They were represented by Floyd Bates and Richard Myers of Bates & Myers. The tenant is moving out of the location. It's unknown what the new owners will do with the property. NO special sale conditions to report at this time.",,,17000,,,1980,MU3
,,1999000,,,,,37312,C,,Metal,3320 Hardrock Rd,Grand Prairie,"Can-Fer Utility Services, LLC",,,,,TX,Hardrock Rd,3320,75050,3320 Hardrock Rd,Grand Prairie,"Can-Fer Utility Services, LLC",,,TX,Hardrock Rd,3320,,,75050,"2101 Cedar Springs Rd, 900",Pete,Richardson,Dallas,"Cushman & Wakefield of Texas, Inc.",9726639600,TX,Cedar Springs Rd,2101,,,75201,,2199305,,,0.043065161,,,,,,,,,0.04345874,,,,,,19.89,866408,,,,32.805688,,"1404 W Mayfield Rd, A",Wayne,Burgdorf,Arlington,Burgdorf Realty Group,8174676483,TX,Mayfield Rd,1404,,W,76015,None,-97.021864,,,,,,Dallas/Ft Worth,113,,,,,,,1,,20,,,1,,,,6.51184E+16,,,,,,,,,,95525.39,,,50.92,50.92,2.19,,,,3320 Hardrock Rd,Grand Prairie,Dallas,,TX,Hardrock Rd,3320,,,75050,Industrial,,10/24/2011,,,10/25/2011,Research Complete,,,10/21/2011,1900000,Confirmed,Sold,,,,,Warehouse,,,,,,,,,,,,100 W Houston,San Antonio,The Frost National Bank,,2102204011,TX,Houston,100,,W,78205,37312,,3 Star,,Great SW/Arlington Ind,GUC,Upper Great Southwest Ind,Single,,,6986.58,"A source deemed reliable confirmed that the subject property sold on 10/21/2011 for a final sales price of $1.9 million. Source confirmed the recorded and true buyers, recorded and true sellers, the listing broker, and buyer broker involved in the transaction. According to the source this was an all-cash transaction and was sold as is with the Seller delivering the property as environmentally clean.",,,37312,,,,LI
,16,2156588,1420850,227600,1648450,2011,44012,C,,Reinforced Concrete,"1201 N Watson Rd, 226",Arlington,Cegi Technology Inc,Alan Kan,9725394247,,N,TX,Watson Rd,1201,76006,3712 Wicklow Ct,Flower Mound,Kansun Ent Inc,,9725394247,TX,Wicklow Ct,3712,,,75022,,,,,,,,,,,,,"24'0""",2236367,,Yes,0.483435852,Three of the five dock high doors are 16' recessed. Ramp has 14' door. Standing seam roof.,20110332220,246100,Yes,1583900,Wells Fargo Bank NA,,,0.483435852,,,,,86,2.09,91040,,,,32.9276239,Lot 1 Block A of Signature Stone Addition.,"5001 Spring Valley Rd, 400W",Bill,de la Chapelle,Dallas,Transwestern Dallas,9727742500,TX,Spring Valley Rd,5001,,,75244,2,-96.9141398,,,,,,Dallas/Ft Worth,489,,,,,,,1,,55,,,1,,,,241505500A0010000,,1.25,17.131691,,,,,,Y,875598.09,,,41.58,41.58,20.1,,,,13710 Hutton Dr,Farmers Branch,Dallas,,TX,Hutton Dr,13710,,,75234,Industrial,,1/6/2012,,,1/20/2012,Research Complete,,,12/19/2011,1830000,Confirmed,Sold,,,,,Warehouse,"240 Gibraltar Rd, 220",Horsham,"Mace Security International, Inc.",Gregory Krzemien,2673174009,,,PA,Gibraltar Rd,240,19044,"240 Gibraltar Rd, 220",Horsham,"Mace Security International, Inc.",,2673174009,PA,Gibraltar Rd,240,,,19044,44012,,3 Star,,Northwest Dallas Ind,GTJ,N Stemmons/Valwood Ind,Single,,,46275.78,"All information in this report was verified with a source deemed as reliable. 13710 Hutton Dr is a 44,012 square foot industrial building that sold on 12/19/11 for a reported $1,830,000. The property was under contract for about 90 days. The sellers used a commercial broker while the buyers did not have representation. It was reported that the buyers purchased this property for their own use and are moving into this location at the time this report was published.",,,44012,,,1998,"PD, Dallas"
,50,,935020,262880,1197900,2011,32422,B,,Masonry,3722 Irving Blvd,Dallas,Southwest Idealease,,2146372356,,,TX,Irving Blvd,3722,75247,3722 Irving Blvd,Dallas,"SWIT Holdings, L.L.C.",,2146372356,TX,Irving Blvd,3722,,,75247,"1431 Greenway Dr, 350",Jeremy,Mercer,Irving,Mercer Company,2146307010,TX,Greenway Dr,1431,,,75038,"16'0""-18'0""",2547922,,,0.247509409,,20120257299,,None,1487500,Veritex Cmnty Bk,,,0,,,,,78,3.01,130993,,,,32.808684,,"1431 Greenway Dr, 350",Jeff,Mercer,Irving,Mercer Company,2146307010,TX,Greenway Dr,1431,,,75038,None,-96.880716,,33-XD,33,X,D,Dallas/Ft Worth,,,,,,,,1,,35,,,1,,,,7.66117E+11,,1.08,,,,,,,,581936.69,,,53.98,53.98,13.36,,,,3707 Irving Blvd,Dallas,Dallas,Cummins Southern Plains,TX,Irving Blvd,3707,,,75247,Industrial,,9/5/2012,,8/30/2012,9/5/2012,Research Complete,,,8/29/2012,1750000,Confirmed,Sold,,,,,Service,"1431 Greenway Dr, 350",Irving,Jeff Mercer,Jeff Mercer,2146307010,,,TX,Greenway Dr,1431,75038,"1140 Empire Central Pl, 106G",Dallas,"Caveman Real Estate, LLC",,2146307010,TX,Empire Central Pl,1140,,,75247,32422,,2 Star,,South Stemmons Ind,GUI,West Brookhollow Ind,Single,,,31375.98,"It has been reported that the property at 3707 Irving Blvd in Dallas, TX has sold as of 8/29/2012. The 32,422SF industrial property sold for $1,750,000. The seller was Caveman Real Estate, LLC. They were represented by Ryan Boozer and Jeff Mercer of Mercer Company. The new owner is SWIT Holdings LLC. They were represented by Jeremy Mercer. No special sale conditions to report. Documents will be attached as they become available.",,,32422,,,1964,Industrial/Research Dist
,48,1850185,671286,288714,960000,2012,50005,B,,Masonry,128 Fairview St,Arlington,"Houk Air Conditioning, Inc.",Roy Battle,8172651191,,,TX,Fairview St,128,76010,128 Fairview St,Arlington,"833 111th Street, LLC.",,,TX,Fairview St,128,,,76010,"1314 Lake St, 200",Gene,Jolley,Fort Worth,Gene Jolley Company,8178828999,TX,Lake St,1314,,,76102,"16'5""",2896232,,,0.346398166,,D213293807,,Yes,1662500,Private Lender,,Lender: EECU,0.369334359,,,,,69,3.31,144357,,,,32.7552095,,"5956 Sherry Ln, 2000",Blake,Anderson,Dallas,Cassidy Turley,9726921750,TX,Sherry Ln,5956,,,75225,5,-97.0500251,,70-YF,70,Y,F,Dallas/Ft Worth,902,,,,,,,1,,150,,,,,,,3688062,,5.6,,,,,,,Y,528062.76,,,35,35,12.12,,,,833 111th St,Arlington,Tarrant,,TX,111th St,833,,,76011,Industrial,,11/26/2013,,11/14/2013,12/30/2013,Research Complete,,,11/11/2013,1750000,Confirmed,Sold,,,,,Distribution,8901 Governors Row,Dallas,Dalmex Export Company,Stanley Graff,2149517434,,,TX,Governors Row,8901,75247,8901 Governors Row,Dallas,Stanley V Graff,,2149517434,TX,Governors Row,8901,,,75247,50005,,2 Star,,Great SW/Arlington Ind,GTD,Lower Great Southwest Ind,Multi,,,24267.05,"Stanley V Graff sold the property of 833 111th Street in Arlington for $1.75 million on November 11th, 2013. Blake Anderson and David Eseke of Cassidy Turley represented the seller, Stanley Graff. Gene Jolley of Gene Jolley Company represented the buyer, 833 111th Street, LLC. in the transaction. The buyer, doing business as Houk Air Conditioning, Inc., will occupy the property as an owner-user. Structurally, the building was constructed in 1966, comprised of 50,005 SF on 3.31 acres. Prior to the sale, the building served as a distribution/warehousing facility. Houk will begin utilizing the acquired property in Q1 of 2014.",,,50005,,,1966,L1
,49,1995000,787000,350000,1137000,2011,84529,B,,,2230 Valdina St,Dallas,The Colgin Companies,,2149518687,,,TX,Valdina St,2230,75207,2230 Valdina St,Dallas,Richard E Colgin & Company,,2149518687,TX,Valdina St,2230,,,75207,"16479 Dallas Pky, 750",Michelle,Hudson,Addison,Hudson Peters Commercial,9729801188,TX,Dallas Pky,16479,,,75001,"16'0""",2211822,,,0.422771832,"Has above average power. Make a good manufacturing and distribution facility. Huge, fenced truck court.",20110295456,,Yes,1960000,Branch Bkng & Tr Co,,,0.444128238,,,,,69,4.59,199940,,,,32.6858373,Por blk 6953 vol 354 pg 1722,2006 N Highway 360,Jim,Ferris,Grand Prairie,Bradford Companies,9723379330,TX,Highway 360,2006,,N,75050,10,-96.8872817,500x400,63-JD,63,J,D,Dallas/Ft Worth,1731,,,,,,,1,,,,,,,,,6.55336E+11,,,5.323617,,,,,,Y,368736.38,,,20.02,20.02,8.47,,,,4111 Mint Way,Dallas,Dallas,,TX,Mint Way,4111,,,75237,Industrial,,11/17/2011,,11/9/2011,11/23/2011,Research Complete,,,11/17/2011,1692500,Confirmed,Sold,,,,,Distribution,,,,,,,,,,,,250 Fulton Ave,New Hyde Park,ABG Partners LP,,,NY,Fulton Ave,250,,,11040,84529,,2 Star,,South Dallas Ind,GTW,Redbird Airport Ind,Multi,,,32271.82,"All information in this report was verified with a source deemed as reliable. 4111 Mint Way is a 84,529 square foot industrial building that sold for an undisclosed amount. It was reported that both the buyer and sellers had representation. CoStar attempted to reach all parties involved.",,,84529,,,1965,"IR, Dallas"
,16,1890000,1039857,428074,1467931,2011,24559,B,,Masonry,1005 Avenue N,Plano,Unicorn Imp. & Mfg. Corp.,,4692983558,,,TX,Avenue N,1005,75074,1918 Platinum St,Garland,"Unicorn 1005 N Avenue Associates, LLC",,4692983558,TX,Platinum St,1918,,,75042,"10501 N Central Expy, 214",Jerry,Smith,Dallas,Capital Property Advisors,2148936331,TX,Central Expy,10501,,N,75231,"22'0""",2554440,,Yes,0.18644145,,1027970,,Yes,1220000,Veritex Cmnty Bk,,,0.216056178,,,,,70,3.02,131725,,,,33.0132016,,"15455 Dallas Pky, 400",George,Tanghongs,Addison,Lee & Associates,9729344000,TX,Dallas Pky,15455,,,75001,3,-96.6944796,,659-XD,659,X,D,Dallas/Ft Worth,448,,,,,,,1,,39,,,,,,,R2028285,,1.59,6.107741,,,,,,,545634.92,,,67.19,67.19,12.53,,,,1005 Avenue N,Plano,Collin,Palisades Business Park,TX,Avenue N,1005,,,75074,Industrial,,9/14/2012,,,10/1/2012,Research Complete,,,8/14/2012,1650000,Confirmed,Sold,,,,,Distribution,1468 Seareel Ln,San Jose,"Great Pacific Packaging, Inc.",Herman Lai,4089436670,,,CA,Seareel Ln,1468,95131,1468 Seareel Ln,San Jose,"1005 N. Ave., LLC",,4089436670,CA,Seareel Ln,1468,,,95131,24559,,3 Star,,Northeast Dallas Ind,GTT,Plano Ind,Multi,,,40858.37,"Details of this transaction are from sources deemed to be accurate. 1005 N. Ave., LLC sold the property to Unicorn 1005 N Avenue Associates, LLC for $1,650,000 on August 14th, 2012. The property was purchased with the intent of Unicorn Imp. & Mfg. Corp., the buyer, occupying the building with their business operations. The building itself is 24,559 square feet, with 3.02 acres of land. Lee & Associates represented the seller, and Capital Property Advisors represented the buyer. No sales conditions were noted in the transaction.",,,24559,,,1998,L1-1
,35,1650000,265650,614630,880280,2012,38273,C,,Masonry,2710 Oak Lawn Ave,Dallas,"Goodson Acura of Dallas, LLC",Clark Richardson,9725540505,,,TX,Oak Lawn Ave,2710,75219,2710 Oak Lawn Ave,Dallas,"Goodson Acura of Dallas, LLC",,9725540505,TX,Oak Lawn Ave,2710,,,75219,"6334 Maple Ave, 150",Robert,Todd,Dallas,City Realty Group,2143511585,TX,Maple Ave,6334,,,75235,"15'0""-19'0""",2726066,,,0.122031553,,20130101709,,None,1650000,Private Individual Fas Fiancial Inc,,Lender Name: Private Individual Schneider Susan P M D Trust,0.122031553,,,,,30,7.2,313632,,,,32.807951,,"2001 Ross Ave, 2800",Jason,Moser,Dallas,"Stream Realty Partners, L.P.",2142670400,TX,Ross Ave,2001,,,75201,2,-96.856492,,34-WD,34,W,D,Dallas/Ft Worth,90,,,,,,,1,,50,,,1,,,,5.75957E+11,,1.31,16.33005,,,,,,,229166.67,,,43.11,43.11,5.26,,,,2964 Irving Blvd,Dallas,Dallas,,TX,Irving Blvd,2964,,,75247,Industrial,,4/23/2013,,4/3/2013,5/1/2013,Research Complete,,,3/27/2013,1650000,Confirmed,Sold,,,,,Warehouse,,,,,,,,,,,,,Corsicana,Estate of Rita S Robertson,,,TX,,,,,75151,38273,,3 Star,,South Stemmons Ind,GUI,West Brookhollow Ind,Single,,,,"A source deemed reliable confirmed sale date, buyer, seller, brokers, RBA of 38,273 square feet, 45 day escrow length, market length. The property sold for a confirmed price of $1,650,000. It was reported that the buyer will use this, property for a body shop.",,,38273,,,1979,IR
,,,,,,2011,52409,,,Reinforced Concrete,525 International Pky,Richardson,"TRUGLO, Inc.",Tony LoRocco,9727740300,,,TX,International Pky,525,75081,710 Presidential Dr,Richardson,Truglo Properties Llc,,,TX,Presidential Dr,710,,,75081,"5001 Spring Valley Rd, 400W",Henry,Knapek,Dallas,Transwestern Dallas,9727742500,TX,Spring Valley Rd,5001,,,75244,,2502778,,,0.358038374,,20120189569,50000,,1500000,Signature Bk,,,0.358038374,,,,,,2.32,101059,,,,32.955473,,"2001 Ross Ave, 2800",Keith,Fisher,Dallas,"Stream Realty Partners, L.P.",2142670400,TX,Ross Ave,2001,,,75201,,-96.7091525,,,17,D,D,Dallas/Ft Worth,137,Interrich Plaza II,,,,,,,,101,,,6,,,,4.21968E+16,,,,Richardson,Dallas,,TX,75081,,,,,29.58,29.58,,,,,525 International Pky (2 Properties),Richardson,Dallas,Interrich Plaza II,TX,International Pky,525,,,75081,Industrial,,7/3/2012,,7/2/2012,9/18/2012,Research Complete,,,6/29/2012,1550000,Confirmed,Sold,,,,,Warehouse,100 N Tryon St,Charlotte,Bank of America Corporation,J. Steele Alphin,7043865681,,N,NC,Tryon St,100,28255,2001 NE 46th St,Kansas City,Bank of America,Zammy Arcos,8164522913,MO,46th St,2001,,NE,64116,52409,,2 Star,,Northeast Dallas Ind,GTY,Richardson Ind,Multi,,,,"A source close to the deal confirmed that subject property sold on 6/29/12 for a final sales price of $1,550,000, or about $29.58 per square foot. The sale involved two industrial warehouses totalling about 52,409 square feet located at 525 International Parkway in Richardson TX. The source reported that at the time of sale, the buildings were 36% occupied. The buyer intends to have those tenants move out in the next few months or so, and the buyer will then move their business into the buildings. This is an owner/user sale. There were no sales conditions affecting the price of sale. Please refer to attached deed for additional information.",,,36183,,,,
,33,2660000,1284950,558000,1842950,2010,68230,B,,Masonry,1800 Diplomat Dr,Farmers Branch,HomeMax Imports,,9724842996,,,TX,Diplomat Dr,1800,75234,1800 Diplomat Dr,Farmers Branch,HomeMax Imports,,9724842996,TX,Diplomat Dr,1800,,,75234,"15455 Dallas Pky, 400",Conrad,Madsen,Addison,Lee & Associates,9729344000,TX,Dallas Pky,15455,,,75001,"24'0""",2140315,,,0.366825985,,20110200627,,Yes,,,,,0.366825985,,,,,69,4.27,186001,,,,32.8701505,CROSSNO COMMERCIAL SUBD I ACS 4.2700 INT200600134030 DD04122006 CO-DC 0862500000000 1CI08625000,"15455 Dallas Pky, 400",Brett,Lewis,Addison,Lee & Associates,9729344000,TX,Dallas Pky,15455,,,75001,7,-96.9859173,620x300,21A-T,21A,T,,Dallas/Ft Worth,465,,,,,,,1,,148,,,,,,,3.20863E+16,,2.17,12.076799,,,,,,Y,351288.06,,,21.98,21.98,8.06,,,,3011 S Skyway Cir,Irving,Dallas,,TX,Skyway Cir,3011,S,S,75038,Industrial,,7/8/2011,,8/2/2011,7/14/2011,Research Complete,,,6/30/2011,1500000,Confirmed,Sold,,,,,Warehouse,"1131 Rockingham Dr, 129",Richardson,GNL Properties,,9729189991,,,TX,Rockingham Dr,1131,75080,"1131 Rockingham Dr, 129",Richardson,"GNL Metro, LP",Rick Gartner,,TX,Rockingham Dr,1131,,,75080,68230,,2 Star,,DFW Airport Ind,GSY,E DFW Air/Las Colinas Ind,Single,,Not Available,38194.95,"The listing/buyer broker were contacted but are not willing to disclose any other information except the information in the press release. The attached press release confirmed the size, broker, address, brokers, This transaction represents the sale of this 68,230 square foot, class B, industrial property by GNL Metro, L.P. to Home Max Imports for an undisclosed amount. This property was on the market for approximately 14 months before it was sold. All information obtained is from public sources. Additional information will be added as it becomes available.",,,68230,,,1981,"ML, Irving"
,40,1750000,430820,784180,1215000,2012,36400,B,,Masonry,13737 N Stemmons Fwy,Farmers Branch,Dymatize Enterprises Inc,,9727321990,,N,TX,Stemmons Fwy,13737,75234,13737 N Stemmons Fwy,Farmers Branch,Dymatize Enterprises Inc,,9727321990,TX,Stemmons Fwy,13737,,N,75234,"2100 McKinney Ave, 700-900",Timothy,Vogds,Dallas,CBRE,2149796100,TX,McKinney Ave,2100,,,75201,"20'0""",2718578,,,0.278506775,,2.013E+11,,None,,,,,0.278506775,,,,,35,3,130697,,,,32.933603,,"8343 Douglas Ave, 100",Michael,Haggar,Dallas,JLL,2144386100,TX,Douglas Ave,8343,,,75225,9,-96.9029979,,12-QD,12,Q,D,Dallas/Ft Worth,638,,,,,,,1,,40,,,1,,,,241653100103A0000,,1.1,40.563187,,,,,,,499933.34,,,41.21,41.21,11.48,,,,13757 N Stemmons Fwy,Farmers Branch,Dallas,,TX,Stemmons Fwy,13757,N,N,75234,Industrial,,4/11/2013,,4/4/2013,6/14/2013,Research Complete,,Purchase By Tenant,4/4/2013,1500000,Confirmed,Sold,,,,,Warehouse,225 W Station Square Dr,Pittsburgh,"Wesco Distribution, Inc.",Gary Habsburg,4124542208,,W,PA,Station Square Dr,225,15219,225 W Station Square Dr,Pittsburgh,Wesco Real Estate IV LLC,,,PA,Station Square Dr,225,,W,15219,36400,,2 Star,,Northwest Dallas Ind,GTJ,N Stemmons/Valwood Ind,Single,,,,"From sources deemed reliable close to the transaction. The building is 36,400 square feet on a 3.0004 acre parcel. The property sales price was $1.5 million. The seller and buyer both used broker representation. The sale was delayed by 18 months. The seller had to pay off their securitized mortgage on the property before they could sell. The seller allowed the buyer to move-in during that time and play rent. 100% of the rent was credited towards the final purchase price. No conditions effect the sale.",,,36400,,,1974,PD
,11,1575000,1274086,277739,1551825,2012,14126,B,,Masonry,"1200 Placid Ave, 700",Plano,Kinetrol USA Inc,Gregory Mitchell,9724232884,,,TX,Placid Ave,1200,75074,"1200 Placid Ave, 700",Plano,Kinetrol USA Inc,,9724232884,TX,Placid Ave,1200,,,75074,"4783 Preston Rd, 100",Suzanne,Mitchell,Frisco,Keller Williams Realty,9727129898,TX,Preston Rd,4783,,,75034,"18'0""",2836164,,,0.405360422,,1265640,,Yes,,,,,0.426681589,,,,,82,0.8,34848,,,,33.0128508,Lot 3R blk 1 Preston Ohio Addition,"2001 Ross Ave, 2800",Luke,Davis,Dallas,"Stream Realty Partners, L.P.",2142670400,TX,Ross Ave,2001,,,75201,1,-96.7874421,,,,,,Dallas/Ft Worth,485,,,,,,,1,,44,,,1,,,,R2556842,,3.1,,,,,,,Y,1843750,,,104.42,104.42,42.33,,,,1085 Ohio Dr,Plano,Collin,Plano 190 Business Center - North,TX,Ohio Dr,1085,,,75093,Industrial,,9/12/2013,,9/9/2013,9/20/2013,Research Complete,,,8/31/2013,1475000,Confirmed,Sold,,,,,Warehouse,1085 Ohio Dr,Plano,McDowell Company,Nancy McDowell,9726121100,,,TX,Ohio Dr,1085,75093,1085 Ohio Dr,Plano,1085 Ohio Partners,,,TX,Ohio Dr,1085,,,75093,14126,,3 Star,,Northeast Dallas Ind,GTT,Plano Ind,Single,,,,"A source deemed reliable confirmed sale date of 8/31/13, buyer, seller, RBA of 14,126 square feet, escrow length of 60 days, four month market length, and sold for a confirmed price of $1,475,000. It was reported the buyer will use this property and move into the building in approximately 60 days from sale date.",,,14126,,,2003,"O-2, Plano"
,37,,257010,666600,923610,2012,23900,C,,Masonry,20 Cochran Oaks Ln,Dallas,John Hampton,John Hampton,2143523920,,,TX,Cochran Oaks Ln,20,75220,,,"Vibrio Properties I, LP",,,,,,,,,"2001 Ross Ave, 2800",Jason,Moser,Dallas,"Stream Realty Partners, L.P.",2142670400,TX,Ross Ave,2001,,,75201,"18'0""",2870107,,,0.184118082,"1849 Empire Central is composed of office, warehouse and retail space with paved outside storage. There is a security fence with electronic gate and a 12,000 gallon diesel tank on premise. Property consists of a 5,192 sf office, 17,500 sf warehouse, 2,400 sf 3-bay shop with offices, and a 1,700 sf outer dock.",,,None,,,,,0.20639714,,,,,27,2.98,129808,,,,32.826873,,"1717 McKinney Ave, 900",Allen,Gump,Dallas,Colliers International,2146921100,TX,McKinney Ave,1717,,,75202,22,-96.858261,,33-RD,33,R,D,Dallas/Ft Worth,,,,,0,0,0,1,0,50,,0,1,0,,,5.02831E+11,5.0288E+11,1.87,21.723849,,,,,,N,486577.18,,,60.67,60.67,11.17,,,,1849 Empire Central Dr,Dallas,Dallas,,TX,Empire Central Dr,1849,,,75235,Industrial,,10/23/2013,,,11/12/2013,Research Complete,,,10/21/2013,1450000,Confirmed,Sold,,,,,Warehouse,,Art,Jerry C. Mcvey,Jerry McVey,,,,TX,,,76820,1849 Empire Central Dr,Dallas,MRS L Properties,,,TX,Empire Central Dr,1849,,,75235,23900,,3 Star,,South Stemmons Ind,GSZ,East Brookhollow Ind,Single,,,,"This 23,900 SF industrial building sold from Mrsl Properties to Vibrio Properties I LP for $1,450,000. The information contained within this report was confirmed with sources deemed reliable. This property was not listed on the market at the time of the sale. The buyer approached the seller showing interest in the property. This sale was under contract for approximately 90 days prior to closing. This was an owner/user purchase. However, the property had a tenant on site at the time of the sale with 4 years remaining on their lease. The buyer plans to occupy this property once the existing tenant vacates, either at the end of their lease or sooner if an agreement can be made.",,,23900,,,1977,IR
